时间,基准收益,策略收益,当日盈利,当日亏损,当日买入,当日卖出,超额收益(%),cash,dd,risk_on
2015-01-05 16:00:00,0.37,0.87,873,0,47571,0,0.5,52359,-0.00085183094127317,0
2015-01-06 16:00:00,2.4,1.23,359,0,8190,0,-1.14,44159,0,0
2015-01-07 16:00:00,2.31,1.61,380,0,0,0,-0.68,44159,-0.0011599331563944,0
2015-01-08 16:00:00,2.27,0.59,0,-1019,0,0,-1.64,44159,-0.0111766440578,0
2015-01-09 16:00:00,1.67,-0.07,0,-659,0,0,-1.71,44159,-0.017654575838003,0
2015-01-12 16:00:00,0.58,-1.66,0,-1590,5896,0,-2.23,38208,-0.033284183623317,0
2015-01-13 16:00:00,2.32,-1.05,607.49,0,2936,-3507,-3.29,38735.493,-0.02731256266588,0
2015-01-14 16:00:00,1.85,-1.38,0,-335.52,2388,-2518,-3.17,38827.975,-0.030610685146958,0
2015-01-15 16:00:00,2.34,-0.76,627.19,0,3044,-3810,-3.03,39545.165,-0.024445443821882,0
2015-01-16 16:00:00,3.73,-0.22,534.23,0,2369,-1772,-3.81,38916.393,-0.01919401356532,0
2015-01-19 16:00:00,1.36,-3.28,0,-3062.34,6060,-2338,-4.58,35152.055,-0.049296618499951,0
2015-01-20 16:00:00,5.13,-0.97,2315.66,0,2756,-2339,-5.8,34692.716,-0.026533805170549,0
2015-01-21 16:00:00,7.27,1.04,2012.33,0,826,-1672,-5.81,35522.044,-0.006752737638848,0
2015-01-22 16:00:00,8.98,2.22,1181,0,0,0,-6.2,35522.044,-0.0010261016412897,0
2015-01-23 16:00:00,7.87,2.59,369.27,0,0,-7734,-4.89,43238.31,-0.0047051605716081,0
2015-01-26 16:00:00,10.2,3.55,958,0,0,0,-6.03,43238.31,-0.00063695921077278,0
2015-01-27 16:00:00,11.05,3.93,375,0,3850,0,-6.41,39383.31,0,0
2015-01-28 16:00:00,10.6,3.74,0,-183.19,3880,-6186,-6.2,41668.124,-0.0085616637344268,0
2015-01-29 16:00:00,9.91,4.02,279,0,5614,0,-5.36,36044.124,-0.0058953540538151,0
2015-01-30 16:00:00,8.61,3.71,0,-309,4288,0,-4.51,31751.124,-0.0096633927117623,0
2015-02-02 16:00:00,8.43,2.27,0,-1442.15,5203,-9149,-5.68,35652.975,-0.023434195217568,0
2015-02-03 16:00:00,10.4,2.91,637.78,0,8940,-6217,-6.78,32858.758,-0.017344128425191,0
2015-02-04 16:00:00,10.38,3.56,652.55,0,9445,-4445,-6.18,27829.313,-0.011113006655404,0
2015-02-05 16:00:00,10.39,3.96,403.35,0,0,-1650,-5.82,29472.663,-0.0085352172074022,0
2015-02-06 16:00:00,8.29,2.56,0,-1404,0,0,-5.29,29472.663,-0.021924541184154,0
2015-02-09 16:00:00,7.42,2.14,0,-424,0,0,-4.92,29472.663,-0.025968040732689,0
2015-02-10 16:00:00,8.76,3.64,1502,0,0,0,-4.71,29472.663,-0.011644134313115,0
2015-02-11 16:00:00,10.25,3.65,8.95,0,8002,-3048,-5.99,24495.615,-0.01155876306793,0
2015-02-12 16:00:00,11.22,4.75,1102.37,0,0,-5632,-5.82,30116.983,-0.0010459694115172,0
2015-02-13 16:00:00,13.08,5.58,830.99,0,8274,-5008,-6.63,26825.975,-0.003623838914698,0
2015-02-16 16:00:00,15.56,6.81,1225,0,0,0,-7.57,26825.975,-0.00049598080086399,0
2015-02-17 16:00:00,16.47,7.44,634.95,0,5688,-4052,-7.75,25170.923,0,0
2015-02-25 16:00:00,16.21,7.11,0,-329.19,7238,-12195,-7.83,30090.728,-0.0061517204664159,0
2015-02-26 16:00:00,16.89,7.46,351,0,0,0,-8.07,30090.728,-0.0028949272783133,0
2015-02-27 16:00:00,18.49,8.48,1018,0,3849,0,-8.45,26236.728,0,0
2015-03-02 16:00:00,21.4,9.57,1090.21,0,0,-3788,-9.74,30015.94,0,0
2015-03-03 16:00:00,20.81,8.34,0,-1226,3553,0,-10.32,26457.94,-0.011919533753803,0
2015-03-04 16:00:00,22.95,8.96,620,0,0,0,-11.38,26457.94,-0.006265279027439,0
2015-03-05 16:00:00,23.61,8.63,0,-335,0,-4996,-12.12,31443.944,-0.0093203640537506,0
2015-03-06 16:00:00,21.75,8.55,0,-78,0,0,-10.84,31443.944,-0.01003170577739,0
2015-03-09 16:00:00,23.61,9.8,1250.75,0,0,-3250,-11.17,34685.694,-8.195848431225E-5,0
2015-03-10 16:00:00,25.53,10.54,739.19,0,6602,-4810,-11.94,32868.884,-0.00072318421190509,0
2015-03-11 16:00:00,25.53,11.59,1049.24,0,15775,-14756,-11.1,31795.128,0,0
2015-03-12 16:00:00,24.67,10.54,0,-1049.92,7096,-7924,-11.33,32595.204,-0.013044386162258,0
2015-03-13 16:00:00,26.91,11.19,649.96,0,7793,-4045,-12.39,28828.159,-0.0072413307152418,0
2015-03-16 16:00:00,31.12,13.37,2178.14,0,6485,-11860,-13.54,34166.299,0,0
2015-03-17 16:00:00,32.61,15.09,1724.87,0,11930,-11129,-13.21,33324.17,-0.00099680570992822,0
2015-03-18 16:00:00,35.23,16.93,1833.94,0,6305,-4064,-13.53,31064.106,-0.0001966633817041,0
2015-03-19 16:00:00,36.32,18.16,1227.67,0,0,-3334,-13.32,34389.772,0,0
2015-03-20 16:00:00,38.01,19.58,1427.66,0,4068,-4337,-13.35,34644.435,-0.00035945232339318,0
